land;wahlkreis;gruppe;erststimmen;zweitstimmen
2;22;Wähler;172574;-
2;22;Ungültige;1707;1273
2;22;Gültige;170867;171301
2;22;SPD;59086;45542
2;22;CDU;50822;49482
2;22;GRÜNE;12112;17773
2;22;DIE LINKE;15673;16847
2;22;FDP;12007;17621
2;22;AfD;16208;16732
2;22;NPD;399;425
2;22;Die PARTEI;3026;2096
2;22;FREIE WÄHLER;1534;807
2;22;ÖDP;-;436
2;22;MLPD;-;65
2;22;BGE;-;689
2;22;DiB;-;557
2;22;DKP;-;61
2;22;Tierschutzpartei;-;1835
2;22;V-Partei³;-;333
2;23;Wahlberechtigte;222031;-
2;23;Wähler;155758;-
2;23;Ungültige;1990;1537
2;23;Gültige;153768;154221
2;23;SPD;53446;40364
2;23;CDU;43274;42219
2;23;GRÜNE;11903;15442
2;23;DIE LINKE;16382;17344
2;23;FDP;8039;13313
2;23;AfD;16688;17710
2;23;NPD;530;512
2;23;Die PARTEI;-;2504
2;23;FREIE WÄHLER;1091;683
2;23;ÖDP;1296;663
2;23;MLPD;253;104
2;23;BGE;-;808
2;23;DiB;-;576
2;23;DKP;-;86
2;23;Tierschutzpartei;-;1561
2;23;V-Partei³;-;332
2;23;EB: Scharnweber;345;-
2;23;EB: Giebel;521;-
3;24;Wahlberechtigte;191541;-
3;24;Wähler;142676;-
3;24;Ungültige;3092;1605
3;24;Gültige;139584;141071
3;24;CDU;38531;39552
3;24;SPD;69231;53353
3;24;GRÜNE;9787;10503
3;24;DIE LINKE.;9403;10142
3;24;FDP;6882;10079
3;24;AfD;-;12877
3;24;PIRATEN;2304;568
3;24;NPD;-;357
3;24;Tierschutzpartei;-;1162
3;24;FREIE WÄHLER;3326;760
3;24;MLPD;-;35
3;24;BGE;-;191
3;24;DiB;-;123
3;24;DKP;-;35
3;24;DM;-;136
3;24;ÖDP;-;77
3;24;Die PARTEI;-;961
3;24;V-Partei³;-;160
3;24;EB: von Pentz;120;-
3;25;Wahlberechtigte;235234;-
3;25;Wähler;176342;-
3;25;Ungültige;1553;1390
3;25;Gültige;174789;174952
3;25;CDU;87406;74173
3;25;SPD;48959;48194
3;25;GRÜNE;8255;10258
3;25;DIE LINKE.;7726;9459
3;25;FDP;7758;13629
3;25;AfD;13387;14620
3;25;PIRATEN;-;491
3;25;NPD;-;421
3;25;Tierschutzpartei;-;1185
3;25;FREIE WÄHLER;-;413
3;25;MLPD;-;30
3;25;BGE;-;159
3;25;DiB;-;147
3;25;DKP;-;21
3;25;DM;-;144
3;25;ÖDP;-;127
3;25;Die PARTEI;1298;1359
3;25;V-Partei³;-;122
3;26;Wahlberechtigte;189344;-
3;26;Wähler;139153;-
3;26;Ungültige;1810;1557
3;26;Gültige;137343;137596
3;26;CDU;44537;45098
3;26;SPD;54504;42207
3;26;GRÜNE;7542;9984
3;26;DIE LINKE.;8127;9738
3;26;FDP;8074;12958
3;26;AfD;11392;12490
3;26;PIRATEN;-;377
3;26;NPD;-;389
3;26;Tierschutzpartei;-;1423
3;26;FREIE WÄHLER;1236;880
3;26;MLPD;182;93
3;26;BGE;-;175
3;26;DiB;-;121
3;26;DKP;-;30
3;26;DM;-;177
3;26;ÖDP;-;90
3;26;Die PARTEI;1749;1216
3;26;V-Partei³;-;150
3;27;Wahlberechtigte;226253;-
3;27;Wähler;175967;-
3;27;Ungültige;1797;1286
3;27;Gültige;174170;174681
3;27;CDU;52598;53417
3;27;SPD;63235;45514
3;27;GRÜNE;19827;21821
3;27;DIE LINKE.;14081;16351
3;27;FDP;10635;18136
3;27;AfD;11592;12625
3;27;PIRATEN;-;682
3;27;NPD;-;336
3;27;Tierschutzpartei;-;1457
3;27;FREIE WÄHLER;1393;687
3;27;MLPD;-;77
3;27;BGE;-;372
3;27;DiB;-;298
3;27;DKP;-;57
3;27;DM;-;264
3;27;ÖDP;809;418
3;27;Die PARTEI;-;1837
3;27;V-Partei³;-;332
3;28;Wahlberechtigte;227696;-
3;28;Wähler;170194;-
3;28;Ungültige;1966;1375
3;28;Gültige;168228;168819
3;28;CDU;57390;56526
3;28;SPD;55326;47622
3;28;GRÜNE;12933;13525
3;28;DIE LINKE.;10262;11567
3;28;FDP;15208;17076
3;28;AfD;15122;16392
3;28;PIRATEN;-;605
3;28;NPD;-;449
3;28;Tierschutzpartei;-;1498
3;28;FREIE WÄHLER;1987;1094
3;28;MLPD;-;46
3;28;BGE;-;235
3;28;DiB;-;157
3;28;DKP;-;36
3;28;DM;-;308
3;28;ÖDP;-;154
3;28;Die PARTEI;-;1302
3;28;V-Partei³;-;227
3;29;Wahlberechtigte;187679;-
3;29;Wähler;141726;-
3;29;Ungültige;1433;1007
3;29;Gültige;140293;140719
3;29;CDU;59930;54163
3;29;SPD;43077;38923
3;29;GRÜNE;8491;9709
3;29;DIE LINKE.;8121;9121
3;29;FDP;6984;11483
3;29;AfD;11862;12650
3;29;PIRATEN;-;410
3;29;NPD;-;396
3;29;Tierschutzpartei;-;1338
3;29;FREIE WÄHLER;1828;907
3;29;MLPD;-;26
3;29;BGE;-;163
3;29;DiB;-;100
3;29;DKP;-;20
3;29;DM;-;181
3;29;ÖDP;-;106
3;29;Die PARTEI;-;890
3;29;V-Partei³;-;133
3;30;Wahlberechtigte;197297;-
3;30;Wähler;153044;-
3;30;Ungültige;1192;849
3;30;Gültige;151852;152195
3;30;CDU;67463;59229
3;30;SPD;42829;37361
3;30;GRÜNE;10613;12511
3;30;DIE LINKE.;7994;9564
3;30;FDP;8797;14538
3;30;AfD;12590;13513
3;30;PIRATEN;1334;645
3;30;NPD;-;555
3;30;Tierschutzpartei;-;1335
3;30;FREIE WÄHLER;-;778
3;30;MLPD;-;29
3;30;BGE;-;262
3;30;DiB;-;196
3;30;DKP;-;23
3;30;DM;-;193
3;30;ÖDP;-;139
3;30;Die PARTEI;-;1147
3;30;V-Partei³;-;177
3;30;EB: Knoop;232;-
3;31;Wahlberechtigte;230151;-
3;31;Wähler;179811;-
3;31;Ungültige;1187;959
3;31;Gültige;178624;178852
3;31;CDU;95815;88310
3;31;SPD;47107;41983
3;31;GRÜNE;8900;10803
3;31;DIE LINKE.;6813;8167
3;31;FDP;10089;16181
3;31;AfD;8949;9701
3;31;PIRATEN;-;385
3;31;NPD;-;285
3;31;Tierschutzpartei;-;939
3;31;FREIE WÄHLER;-;271
3;31;MLPD;-;35
3;31;BGE;-;136
3;31;DiB;-;134
3;31;DKP;-;27
3;31;DM;-;146
3;31;ÖDP;-;238
3;31;Die PARTEI;951;984
3;31;V-Partei³;-;127
3;32;Wahlberechtigte;220042;-
3;32;Wähler;163669;-
3;32;Ungültige;1550;1153
3;32;Gültige;162119;162516
3;32;CDU;93545;86301
3;32;SPD;32997;28870
3;32;GRÜNE;7034;8207
3;32;DIE LINKE.;6640;7145
3;32;FDP;8306;15298
3;32;AfD;12683;13145
3;32;PIRATEN;-;381
3;32;NPD;-;308
3;32;Tierschutzpartei;-;803
3;32;FREIE WÄHLER;914;530
3;32;MLPD;-;21
3;32;BGE;-;91
3;32;DiB;-;105
3;32;DKP;-;18
3;32;DM;-;181
3;32;ÖDP;-;110
3;32;Die PARTEI;-;868
3;32;V-Partei³;-;134
3;33;Wahlberechtigte;193934;-
3;33;Wähler;148298;-
3;33;Ungültige;1480;1020
3;33;Gültige;146818;147278
3;33;CDU;65465;55833
3;33;SPD;40102;37505
3;33;GRÜNE;11252;11992
3;33;DIE LINKE.;7759;8951
3;33;FDP;10285;15515
3;33;AfD;11955;12434
3;33;PIRATEN;-;476
3;33;NPD;-;366
3;33;Tierschutzpartei;-;1353
3;33;FREIE WÄHLER;-;668
3;33;MLPD;-;28
3;33;BGE;-;258
3;33;DiB;-;162
3;33;DKP;-;17
3;33;DM;-;206
3;33;ÖDP;-;219
3;33;Die PARTEI;-;1104
3;33;V-Partei³;-;191
3;34;Wahlberechtigte;196136;-
3;34;Wähler;153036;-
3;34;Ungültige;1268;1238
3;34;Gültige;151768;151798
3;34;CDU;59560;53035
3;34;SPD;48505;40047
3;34;GRÜNE;10146;14052
3;34;DIE LINKE.;10714;11055
3;34;FDP;8273;13464
3;34;AfD;12995;14675
3;34;PIRATEN;-;560
3;34;NPD;-;354
3;34;Tierschutzpartei;-;1445
3;34;FREIE WÄHLER;1072;631
3;34;MLPD;-;35
3;34;BGE;-;343
3;34;DiB;-;228
3;34;DKP;-;19
3;34;DM;-;284
3;34;ÖDP;-;125
3;34;Die PARTEI;-;1252
3;34;V-Partei³;-;194
3;34;EB: Hirsch-Sternberg;503;-
3;35;Wahlberechtigte;168101;-
3;35;Wähler;127071;-
3;35;Ungültige;974;967
3;35;Gültige;126097;126104
3;35;CDU;45510;47558
3;35;SPD;51938;34211
3;35;GRÜNE;6053;10068
3;35;DIE LINKE.;5219;7422
3;35;FDP;5659;10699
3;35;AfD;10331;11671
3;35;PIRATEN;-;396
3;35;NPD;-;447
3;35;Tierschutzpartei;-;1145
3;35;FREIE WÄHLER;1387;770
3;35;MLPD;-;34
3;35;BGE;-;188
3;35;DiB;-;138
3;35;DKP;-;10
3;35;DM;-;219
3;35;ÖDP;-;114
3;35;Die PARTEI;-;877
3;35;V-Partei³;-;137
3;36;Wahlberechtigte;199081;-
3;36;Wähler;161837;-
3;36;Ungültige;1325;982
3;36;Gültige;160512;160855
3;36;CDU;65223;57815
3;36;SPD;44017;35377
3;36;GRÜNE;14565;16410
3;36;DIE LINKE.;8638;10117
3;36;FDP;10458;18839
3;36;AfD;14826;16047
3;36;PIRATEN;-;475
3;36;NPD;-;358
3;36;Tierschutzpartei;-;1632
3;36;FREIE WÄHLER;2785;1340
3;36;MLPD;-;35
3;36;BGE;-;209
3;36;DiB;-;240
3;36;DKP;-;31
3;36;DM;-;201
3;36;ÖDP;-;198
3;36;Die PARTEI;-;1238
3;36;V-Partei³;-;293
3;37;Wahlberechtigte;180865;-
3;37;Wähler;141000;-
3;37;Ungültige;1382;861
3;37;Gültige;139618;140139
3;37;CDU;46740;43861
3;37;SPD;39169;32865
3;37;GRÜNE;20604;18906
3;37;DIE LINKE.;11729;12705
3;37;FDP;9245;12959
3;37;AfD;12131;12498
3;37;PIRATEN;-;486
3;37;NPD;-;395
3;37;Tierschutzpartei;-;1506
3;37;FREIE WÄHLER;-;552
3;37;MLPD;-;36
3;37;BGE;-;881
3;37;DiB;-;312
3;37;DKP;-;36
3;37;DM;-;263
3;37;ÖDP;-;250
3;37;Die PARTEI;-;1387
3;37;V-Partei³;-;241
3;38;Wahlberechtigte;199131;-
3;38;Wähler;151302;-
3;38;Ungültige;1226;1107
3;38;Gültige;150076;150195
3;38;CDU;68379;60737
3;38;SPD;42438;38529
3;38;GRÜNE;11613;12346
3;38;DIE LINKE.;7908;9156
3;38;FDP;9576;14603
3;38;AfD;9934;10940
3;38;PIRATEN;-;490
3;38;NPD;-;322
3;38;Tierschutzpartei;-;958
3;38;FREIE WÄHLER;-;381
3;38;MLPD;-;19
3;38;BGE;-;205
3;38;DiB;-;140
3;38;DKP;-;29
3;38;DM;-;168
3;38;ÖDP;-;119
3;38;Die PARTEI;-;902
3;38;V-Partei³;-;151
3;38;Bündnis C;228;-
3;39;Wahlberechtigte;196720;-
3;39;Wähler;152107;-
3;39;Ungültige;2699;938
3;39;Gültige;149408;151169
3;39;CDU;60185;53977
3;39;SPD;47279;37336
3;39;GRÜNE;15108;18353
3;39;DIE LINKE.;12521;12759
3;39;FDP;13353;14309
3;39;AfD;-;9499
3;39;PIRATEN;-;702
3;39;NPD;-;211
3;39;Tierschutzpartei;-;933
3;39;FREIE WÄHLER;-;344
3;39;MLPD;-;28
3;39;BGE;-;402
3;39;DiB;-;264
3;39;DKP;962;77
3;39;DM;-;232
3;39;ÖDP;-;173
3;39;Die PARTEI;-;1361
3;39;V-Partei³;-;209
3;40;Wahlberechtigte;194800;-
3;40;Wähler;146673;-
3;40;Ungültige;1196;1019
3;40;Gültige;145477;145654
3;40;CDU;59128;49896
3;40;SPD;47615;43307
3;40;GRÜNE;11206;11831
3;40;DIE LINKE.;6530;8289
3;40;FDP;6539;12430
3;40;AfD;13292;14945
3;40;PIRATEN;1167;545
3;40;NPD;-;406
3;40;Tierschutzpartei;-;1467
3;40;FREIE WÄHLER;-;469
3;40;MLPD;-;46
3;40;BGE;-;191
3;40;DiB;-;171
3;40;DKP;-;21
3;40;DM;-;278
3;40;ÖDP;-;119
3;40;Die PARTEI;-;1066
3;40;V-Partei³;-;177
3;41;Wahlberechtigte;179883;-
3;41;Wähler;134805;-
3;41;Ungültige;1390;956
3;41;Gültige;133415;133849
3;41;CDU;39487;36401
3;41;SPD;47549;36645
3;41;GRÜNE;12102;16292
3;41;DIE LINKE.;9579;12470
3;41;FDP;8734;13658
3;41;AfD;11364;12226
3;41;PIRATEN;1231;768
3;41;NPD;-;244
3;41;Tierschutzpartei;-;1222
3;41;FREIE WÄHLER;668;409
3;41;MLPD;163;78
3;41;BGE;-;365
3;41;DiB;-;297
3;41;DKP;137;79
3;41;DM;-;545
3;41;ÖDP;-;162
3;41;Die PARTEI;2401;1768
3;41;V-Partei³;-;220
3;42;Wahlberechtigte;193433;-
3;42;Wähler;149031;-
3;42;Ungültige;1407;940
3;42;Gültige;147624;148091
3;42;CDU;42713;36203
3;42;SPD;49744;37964
3;42;GRÜNE;16486;22079
3;42;DIE LINKE.;13775;17823
3;42;FDP;8165;14735
3;42;AfD;10590;11241
3;42;PIRATEN;1516;968
3;42;NPD;-;186
3;42;Tierschutzpartei;-;1342
3;42;FREIE WÄHLER;-;355
3;42;MLPD;235;127
3;42;BGE;-;489
3;42;DiB;-;470
3;42;DKP;232;139
3;42;DM;-;512
3;42;ÖDP;-;186
3;42;Die PARTEI;4168;2966
3;42;V-Partei³;-;306
3;43;Wahlberechtigte;232926;-
3;43;Wähler;181650;-
3;43;Ungültige;1554;1274
3;43;Gültige;180096;180376
3;43;CDU;72282;62828
3;43;SPD;59552;48783
3;43;GRÜNE;10725;14335
3;43;DIE LINKE.;8958;10890
3;43;FDP;9325;18869
3;43;AfD;17217;18366
3;43;PIRATEN;-;653
3;43;NPD;-;406
3;43;Tierschutzpartei;-;1516
3;43;FREIE WÄHLER;2037;830
3;43;MLPD;-;59
3;43;BGE;-;250
3;43;DiB;-;228
3;43;DKP;-;47
3;43;DM;-;463
3;43;ÖDP;-;154
3;43;Die PARTEI;-;1450
3;43;V-Partei³;-;249
3;44;Wahlberechtigte;214612;-
3;44;Wähler;162145;-
3;44;Ungültige;1349;1139
3;44;Gültige;160796;161006
3;44;CDU;68655;58858
3;44;SPD;48189;40899
3;44;GRÜNE;9266;12478
3;44;DIE LINKE.;7901;9297
3;44;FDP;8830;16334
3;44;AfD;16199;17554
3;44;PIRATEN;-;476
3;44;NPD;-;438
3;44;Tierschutzpartei;-;1436
3;44;FREIE WÄHLER;1756;888
3;44;MLPD;-;49
3;44;BGE;-;217
3;44;DiB;-;176
3;44;DKP;-;22
3;44;DM;-;232
3;44;ÖDP;-;145
3;44;Die PARTEI;-;1331
3;44;V-Partei³;-;176
3;45;Wahlberechtigte;218556;-
3;45;Wähler;168861;-
3;45;Ungültige;1488;1288
3;45;Gültige;167373;167573
3;45;CDU;60345;56567
3;45;SPD;63294;50445
3;45;GRÜNE;9342;12094
3;45;DIE LINKE.;8827;10166
3;45;FDP;8062;14004
3;45;AfD;16501;18289
3;45;PIRATEN;-;663
3;45;NPD;-;463
3;45;Tierschutzpartei;-;1591
3;45;FREIE WÄHLER;-;581
3;45;MLPD;277;97
3;45;BGE;-;208
3;45;DiB;-;185
3;45;DKP;-;17
3;45;DM;-;367
3;45;ÖDP;-;123
3;45;Die PARTEI;-;1454
3;45;V-Partei³;-;259
3;45;Bündnis C;725;-
3;46;Wahlberechtigte;187377;-
3;46;Wähler;139780;-
3;46;Ungültige;1311;1107
3;46;Gültige;138469;138673
3;46;CDU;46181;44424
3;46;SPD;54130;44190
3;46;GRÜNE;7511;9995
3;46;DIE LINKE.;8220;9130
3;46;FDP;8034;12531
3;46;AfD;13143;14054
3;46;PIRATEN;1250;560
3;46;NPD;-;411
3;46;Tierschutzpartei;-;1285
3;46;FREIE WÄHLER;-;390
3;46;MLPD;-;33
3;46;BGE;-;185
3;46;DiB;-;125
3;46;DKP;-;27
3;46;DM;-;159
3;46;ÖDP;-;109
3;46;Die PARTEI;-;878
3;46;V-Partei³;-;187
3;47;Wahlberechtigte;239923;-
3;47;Wähler;188495;-
3;47;Ungültige;1729;1479
3;47;Gültige;186766;187016
3;47;CDU;65815;58984
3;47;SPD;69104;55161
3;47;GRÜNE;10693;16290
3;47;DIE LINKE.;10124;12305
3;47;FDP;10092;17925
3;47;AfD;17570;19392
3;47;PIRATEN;1677;936
3;47;NPD;-;508
3;47;Tierschutzpartei;-;1556
3;47;FREIE WÄHLER;1691;822
3;47;MLPD;-;66
3;47;BGE;-;250
3;47;DiB;-;312
3;47;DKP;-;34
3;47;DM;-;396
3;47;ÖDP;-;163
3;47;Die PARTEI;-;1679
3;47;V-Partei³;-;237
3;48;Wahlberechtigte;218349;-
3;48;Wähler;169613;-
3;48;Ungültige;1752;1316
3;48;Gültige;167861;168297
3;48;CDU;60457;54871
3;48;SPD;62448;52077
3;48;GRÜNE;12691;14806
3;48;DIE LINKE.;8502;10932
3;48;FDP;9330;13876
3;48;AfD;14433;15695
3;48;PIRATEN;-;593
3;48;NPD;-;468
3;48;Tierschutzpartei;-;1693
3;48;FREIE WÄHLER;-;453
3;48;MLPD;-;56
3;48;BGE;-;320
3;48;DiB;-;304
3;48;DKP;-;32
3;48;DM;-;305
3;48;ÖDP;-;150
3;48;Die PARTEI;-;1445
3;48;V-Partei³;-;221
3;49;Wahlberechtigte;206133;-
3;49;Wähler;157046;-
3;49;Ungültige;1567;1327
3;49;Gültige;155479;155719
3;49;CDU;45310;45985
3;49;SPD;66587;50482
3;49;GRÜNE;6680;10213
3;49;DIE LINKE.;9290;11266
3;49;FDP;7268;12450
3;49;AfD;18564;19115
3;49;PIRATEN;1335;684
3;49;NPD;-;606
3;49;Tierschutzpartei;-;1591
3;49;FREIE WÄHLER;-;531
3;49;MLPD;-;74
3;49;BGE;-;207
3;49;DiB;-;197
3;49;DKP;-;31
3;49;DM;-;430
3;49;ÖDP;-;117
3;49;Die PARTEI;-;1557
3;49;V-Partei³;-;183
3;49;EB: Jagau;283;-
3;49;EB: Salveter;162;-
3;50;Wahlberechtigte;192041;-
3;50;Wähler;147712;-
3;50;Ungültige;1362;1055
3;50;Gültige;146350;146657
3;50;CDU;45881;42534
3;50;SPD;55641;38695
3;50;GRÜNE;11761;17295
3;50;DIE LINKE.;11145;13673
3;50;FDP;7877;14684
3;50;AfD;11377;12268
3;50;PIRATEN;-;905
3;50;NPD;-;308
3;50;Tierschutzpartei;-;1423
3;50;FREIE WÄHLER;-;413
3;50;MLPD;344;130
3;50;BGE;-;394
3;50;DiB;-;390
3;50;DKP;-;30
3;50;DM;-;298
3;50;ÖDP;-;223
3;50;Die PARTEI;-;2698
3;50;V-Partei³;-;296
3;50;EB: Rosenbaum;2324;-
3;51;Wahlberechtigte;183961;-
3;51;Wähler;137303;-
3;51;Ungültige;1471;1291
3;51;Gültige;135832;136012
3;51;CDU;47416;47037
3;51;SPD;51646;40740
3;51;GRÜNE;6096;8064
3;51;DIE LINKE.;8128;9050
3;51;FDP;7791;10988
3;51;AfD;13857;14862
3;51;PIRATEN;-;592
3;51;NPD;-;623
3;51;Tierschutzpartei;-;1307
3;51;FREIE WÄHLER;-;455
3;51;MLPD;152;82
3;51;BGE;-;138
3;51;DiB;-;141
3;51;DKP;-;36
3;51;DM;-;276
3;51;ÖDP;-;198
3;51;Die PARTEI;-;1229
3;51;V-Partei³;-;194
3;51;EB: Hönig;746;-
3;52;Wahlberechtigte;202963;-
3;52;Wähler;150977;-
3;52;Ungültige;1605;1187
3;52;Gültige;149372;149790
3;52;CDU;59391;48131
3;52;SPD;51953;48016
3;52;GRÜNE;8128;9929
3;52;DIE LINKE.;8525;9521
3;52;FDP;7438;13734
3;52;AfD;13937;15132
3;52;PIRATEN;-;426
3;52;NPD;-;595
3;52;Tierschutzpartei;-;1512
3;52;FREIE WÄHLER;-;513
3;52;MLPD;-;36
3;52;BGE;-;199
3;52;DiB;-;173
3;52;DKP;-;27
3;52;DM;-;329
3;52;ÖDP;-;102
3;52;Die PARTEI;-;1246
3;52;V-Partei³;-;169
3;53;Wahlberechtigte;220420;-
3;53;Wähler;170547;-
3;53;Ungültige;1439;1223
3;53;Gültige;169108;169324
3;53;CDU;56250;51177
3;53;SPD;59032;47871
3;53;GRÜNE;19131;19676
3;53;DIE LINKE.;9905;14748
3;53;FDP;7734;15421
3;53;AfD;11870;13446
3;53;PIRATEN;1400;785
3;53;NPD;-;423
3;53;Tierschutzpartei;-;1434
3;53;FREIE WÄHLER;1458;1063
3;53;MLPD;169;76
3;53;BGE;-;401
3;53;DiB;-;315
3;53;DKP;-;72
3;53;DM;-;253
3;53;ÖDP;-;163
3;53;Die PARTEI;2159;1776
3;53;V-Partei³;-;224
4;54;Wahlberechtigte;252496;-
4;54;Wähler;188064;-
4;54;Ungültige;2627;1688
4;54;Gültige;185437;186376
4;54;SPD;55656;45729
4;54;CDU;44912;48458
4;54;GRÜNE;22117;23568
4;54;DIE LINKE;22666;26425
4;54;AfD;14290;15539
4;54;FDP;20702;19138
4;54;PIRATEN;-;1007
4;54;NPD;-;264
4;54;Die PARTEI;4744;3093
4;54;FREIE WÄHLER;-;488
4;54;MLPD;350;154
4;54;BGE;-;1124
4;54;DKP;-;94
4;54;DM;-;314
4;54;MENSCHLICHE WELT;-;392
4;54;V-Partei³;-;589
4;55;Wahlberechtigte;221655;-
4;55;Wähler;147855;-
4;55;Ungültige;2249;1908
4;55;Gültige;145606;145947
4;55;SPD;49463;43215
4;55;CDU;36363;34951
4;55;GRÜNE;11269;13165
4;55;DIE LINKE;16739;18204
4;55;AfD;16645;17705
4;55;FDP;9755;11918
4;55;PIRATEN;-;951
4;55;NPD;487;599
4;55;Die PARTEI;3009;2418
4;55;FREIE WÄHLER;939;706
4;55;MLPD;150;119
4;55;BGE;-;680
4;55;DKP;-;80
4;55;DM;-;293
4;55;MENSCHLICHE WELT;787;513
4;55;V-Partei³;-;430
5;100;Wahlberechtigte;217425;-
5;100;Wähler;174420;-
5;100;Ungültige;2180;1891
5;100;Gültige;172240;172529
5;100;CDU;68948;61423
5;100;SPD;42098;36221
5;100;GRÜNE;11846;15581
5;100;DIE LINKE;8409;11042
5;100;FDP;27049;28787
5;100;AfD;12476;13777
5;100;PIRATEN;-;505
5;100;NPD;-;225
5;100;Die PARTEI;-;1173
5;100;FREIE WÄHLER;1414;802
5;100;Volksabstimmung;-;142
5;100;ÖDP;-;231
5;100;MLPD;-;43
5;100;SGP;-;10
5;100;AD-DEMOKRATEN;-;296
5;100;BGE;-;187
5;100;DiB;-;205
5;100;DKP;-;17
5;100;DM;-;175
5;100;Die Humanisten;-;97
5;100;Gesundheitsforschung;-;132
5;100;Tierschutzpartei;-;1286
5;100;V-Partei³;-;172
5;101;Wahlberechtigte;212212;-
5;101;Wähler;155139;-
5;101;Ungültige;1619;1428
5;101;Gültige;153520;153711
5;101;CDU;47272;43175
5;101;SPD;59373;41671
5;101;GRÜNE;8722;13472
5;101;DIE LINKE;9430;14284
5;101;FDP;10114;18719
5;101;AfD;13408;14970
5;101;PIRATEN;-;774
5;101;NPD;-;352
5;101;Die PARTEI;3990;2102
5;101;FREIE WÄHLER;-;373
5;101;Volksabstimmung;-;192
5;101;ÖDP;-;155
5;101;MLPD;350;207
5;101;SGP;-;28
5;101;AD-DEMOKRATEN;-;1007
5;101;BGE;-;176
5;101;DiB;-;265
5;101;DKP;-;36
5;101;DM;-;164
5;101;Die Humanisten;-;116
5;101;Gesundheitsforschung;-;126
5;101;Tierschutzpartei;-;1153
5;101;V-Partei³;-;194
5;101;EB: Werner;861;-
5;102;Wahlberechtigte;208129;-
5;102;Wähler;149950;-
5;102;Ungültige;1944;1383
5;102;Gültige;148006;148567
5;102;CDU;43814;39341
5;102;SPD;46657;38696
5;102;GRÜNE;10987;12754
5;102;DIE LINKE;13120;16100
5;102;FDP;12910;18437
5;102;AfD;16339;16431
5;102;PIRATEN;1407;839
5;102;NPD;-;376
5;102;Die PARTEI;2536;1504
5;102;FREIE WÄHLER;-;320
5;102;Volksabstimmung;-;135
5;102;ÖDP;-;183
5;102;MLPD;236;194
5;102;SGP;-;12
5;102;AD-DEMOKRATEN;-;816
5;102;BGE;-;202
5;102;DiB;-;228
5;102;DKP;-;46
5;102;DM;-;252
5;102;Die Humanisten;-;151
5;102;Gesundheitsforschung;-;137
5;102;Tierschutzpartei;-;1250
5;102;V-Partei³;-;163
5;103;Wahlberechtigte;222845;-
5;103;Wähler;164019;-
5;103;Ungültige;2257;1550
5;103;Gültige;161762;162469
5;103;CDU;61871;51318
5;103;SPD;49863;40743
5;103;GRÜNE;9403;11726
5;103;DIE LINKE;10105;12689
5;103;FDP;12548;22947
5;103;AfD;15303;16221
5;103;PIRATEN;-;774
5;103;NPD;-;334
5;103;Die PARTEI;2403;1331
5;103;FREIE WÄHLER;-;331
5;103;Volksabstimmung;-;140
5;103;ÖDP;-;164
5;103;MLPD;266;106
5;103;SGP;-;18
5;103;AD-DEMOKRATEN;-;1214
5;103;BGE;-;166
5;103;DiB;-;185
5;103;DKP;-;21
5;103;DM;-;249
5;103;Die Humanisten;-;102
5;103;Gesundheitsforschung;-;171
5;103;Tierschutzpartei;-;1346
5;103;V-Partei³;-;173
5;104;Wahlberechtigte;205244;-
5;104;Wähler;160315;-
5;104;Ungültige;1765;1150
5;104;Gültige;158550;159165
5;104;CDU;70762;54126
5;104;SPD;40819;36596
5;104;GRÜNE;11014;11796
5;104;DIE LINKE;8647;10216
5;104;FDP;13202;25757
5;104;AfD;14106;15053
5;104;PIRATEN;-;707
5;104;NPD;-;266
5;104;Die PARTEI;-;1071
5;104;FREIE WÄHLER;-;344
5;104;Volksabstimmung;-;156
5;104;ÖDP;-;176
5;104;MLPD;-;59
5;104;SGP;-;17
5;104;AD-DEMOKRATEN;-;571
5;104;BGE;-;147
5;104;DiB;-;178
5;104;DKP;-;22
5;104;DM;-;167
5;104;Die Humanisten;-;107
5;104;Gesundheitsforschung;-;158
5;104;Tierschutzpartei;-;1294
5;104;V-Partei³;-;181
5;105;Wahlberechtigte;163229;-
5;105;Wähler;125496;-
5;105;Ungültige;1510;1056
5;105;Gültige;123986;124440
5;105;CDU;48689;40601
5;105;SPD;37468;30492
5;105;GRÜNE;7567;8599
5;105;DIE LINKE;6825;8458
5;105;FDP;10795;19691
5;105;AfD;11143;11926
5;105;PIRATEN;1451;630
5;105;NPD;-;252
5;105;Die PARTEI;-;822
5;105;FREIE WÄHLER;-;294
5;105;Volksabstimmung;-;114
5;105;ÖDP;-;122
5;105;MLPD;-;73
5;105;SGP;-;13
5;105;AD-DEMOKRATEN;-;493
5;105;BGE;-;98
5;105;DiB;-;121
5;105;DKP;-;15
5;105;DM;-;140
5;105;Die Humanisten;-;56
5;105;Gesundheitsforschung;-;118
5;105;Tierschutzpartei;-;1186
5;105;V-Partei³;-;126
5;105;EB: Willing;48;-
5;106;Wahlberechtigte;220764;-
5;106;Wähler;172947;-
5;106;Ungültige;1560;1037
5;106;Gültige;171387;171910
5;106;CDU;69273;55052
5;106;SPD;41903;33493
5;106;GRÜNE;14408;17148
5;106;DIE LINKE;12611;14675
5;106;FDP;21944;33940
5;106;AfD;10912;12029
5;106;PIRATEN;-;620
5;106;NPD;-;204
5;106;Die PARTEI;-;1417
5;106;FREIE WÄHLER;-;310
5;106;Volksabstimmung;-;93
5;106;ÖDP;-;130
5;106;MLPD;336;121
